adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
Dupont 144 avenue des Lilas 75001 Toulouse France,144,,avenue,des Lilas,75001,Toulouse,France,Dupont,"Parsing: Dupont 144 avenue des Lilas 75001 Toulouse France
Champs: {""Building_Number"": 144, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""avenue""}"
du général leclerc bis 7 bordeaux impasse 92100 france mme martin,7,bis,impasse,du Général Leclerc,92100,Bordeaux,France,Mme Martin,"Parsing: du général leclerc bis 7 bordeaux impasse 92100 france mme martin
Champs: {""Building_Number"": 7, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
dupont 34 bis route de verdun 13008 lyon france,34,bis,route,de Verdun,13008,Lyon,France,Dupont,"Parsing: dupont 34 bis route de verdun 13008 lyon france
Champs: {""Building_Number"": 34, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""route""}"
Mme Martin 146 A chemin Jean Jaurès 6000 Boulogne-Billancourt France,146,A,chemin,Jean Jaurès,6000,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 146 A chemin Jean Jaurès 6000 Boulogne-Billancourt France
Champs: {""Building_Number"": 146, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
boulevard nice france société leroy b 67000 90 jean jaurès,90,B,boulevard,Jean Jaurès,67000,Nice,France,Société Leroy,"Parsing: boulevard nice france société leroy b 67000 90 jean jaurès
Champs: {""Building_Number"": 90, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
France Victor Hugo rue Société Leroy 13008 Nice 152 B,152,B,rue,Victor Hugo,13008,Nice,France,Société Leroy,"Parsing: France Victor Hugo rue Société Leroy 13008 Nice 152 B
Champs: {""Building_Number"": 152, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": ""B"", ""type_voie"": ""rue""}"
b de verdun france nice 30 chemin société leroy 31000,30,B,chemin,de Verdun,31000,Nice,France,Société Leroy,"Parsing: b de verdun france nice 30 chemin société leroy 31000
Champs: {""Building_Number"": 30, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
Société Leroy 59 B avenue du Général Leclerc 69003 Paris France,59,B,avenue,du Général Leclerc,69003,Paris,France,Société Leroy,"Parsing: Société Leroy 59 B avenue du Général Leclerc 69003 Paris France
Champs: {""Building_Number"": 59, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
société leroy 162 b route jean jaurès 6000 nantes france,162,B,route,Jean Jaurès,6000,Nantes,France,Société Leroy,"Parsing: société leroy 162 b route jean jaurès 6000 nantes france
Champs: {""Building_Number"": 162, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": ""B"", ""type_voie"": ""route""}"
Mme Martin 146 route de Verdun 69003 Boulogne-Billancourt France,146,,route,de Verdun,69003,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 146 route de Verdun 69003 Boulogne-Billancourt France
Champs: {""Building_Number"": 146, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""route""}"
Société Leroy 194 B route Victor Hugo 33000 Boulogne-Billancourt France,194,B,route,Victor Hugo,33000,Boulogne-Billancourt,France,Société Leroy,"Parsing: Société Leroy 194 B route Victor Hugo 33000 Boulogne-Billancourt France
Champs: {""Building_Number"": 194, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""B"", ""type_voie"": ""route""}"
société leroy 167 avenue de la république 13008 marseille france,167,,avenue,de la République,13008,Marseille,France,Société Leroy,"Parsing: société leroy 167 avenue de la république 13008 marseille france
Champs: {""Building_Number"": 167, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""avenue""}"
91 a avenue victor hugo 92100 nantes france,91,A,avenue,Victor Hugo,92100,Nantes,France,,"Parsing: 91 a avenue victor hugo 92100 nantes france
Champs: {""Building_Number"": 91, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 92100, ""repetition"": ""A"", ""type_voie"": ""avenue""}"
Société Leroy 158 A boulevard Victor Hugo 75001 Nantes France,158,A,boulevard,Victor Hugo,75001,Nantes,France,Société Leroy,"Parsing: Société Leroy 158 A boulevard Victor Hugo 75001 Nantes France
Champs: {""Building_Number"": 158, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""A"", ""type_voie"": ""boulevard""}"
lyon de verdun m. durant 92100 ter 163 impasse france,163,ter,impasse,de Verdun,92100,Lyon,France,M. Durant,"Parsing: lyon de verdun m. durant 92100 ter 163 impasse france
Champs: {""Building_Number"": 163, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
M. Durant 173 ter avenue Jean Jaurès 13008 Strasbourg France,173,ter,avenue,Jean Jaurès,13008,Strasbourg,France,M. Durant,"Parsing: M. Durant 173 ter avenue Jean Jaurès 13008 Strasbourg France
Champs: {""Building_Number"": 173, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
Dupont 101 A impasse Jean Jaurès 6000 Strasbourg France,101,A,impasse,Jean Jaurès,6000,Strasbourg,France,Dupont,"Parsing: Dupont 101 A impasse Jean Jaurès 6000 Strasbourg France
Champs: {""Building_Number"": 101, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
Bordeaux France Jean Jaurès route Mme Martin 69003 101,101,,route,Jean Jaurès,69003,Bordeaux,France,Mme Martin,"Parsing: Bordeaux France Jean Jaurès route Mme Martin 69003 101
Champs: {""Building_Number"": 101, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""route""}"
44000 37 de Verdun rue Boulogne-Billancourt B M. Durant France,37,B,rue,de Verdun,44000,Boulogne-Billancourt,France,M. Durant,"Parsing: 44000 37 de Verdun rue Boulogne-Billancourt B M. Durant France
Champs: {""Building_Number"": 37, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""rue""}"
toulouse avenue 31000 177 a france m. durant des lilas,177,A,avenue,des Lilas,31000,Toulouse,France,M. Durant,"Parsing: toulouse avenue 31000 177 a france m. durant des lilas
Champs: {""Building_Number"": 177, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""avenue""}"
M. Durant 110 bis impasse Victor Hugo 75001 Nantes France,110,bis,impasse,Victor Hugo,75001,Nantes,France,M. Durant,"Parsing: M. Durant 110 bis impasse Victor Hugo 75001 Nantes France
Champs: {""Building_Number"": 110, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
France bis 7 13008 Nice boulevard des Lilas M. Durant,7,bis,boulevard,des Lilas,13008,Nice,France,M. Durant,"Parsing: France bis 7 13008 Nice boulevard des Lilas M. Durant
Champs: {""Building_Number"": 7, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
ter 44000 de verdun 51 m. durant boulevard france strasbourg,51,ter,boulevard,de Verdun,44000,Strasbourg,France,M. Durant,"Parsing: ter 44000 de verdun 51 m. durant boulevard france strasbourg
Champs: {""Building_Number"": 51, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""boulevard""}"
mme martin 101 b chemin de verdun 69003 nice france,101,B,chemin,de Verdun,69003,Nice,France,Mme Martin,"Parsing: mme martin 101 b chemin de verdun 69003 nice france
Champs: {""Building_Number"": 101, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
m. durant 62 avenue de verdun 75001 paris france,62,,avenue,de Verdun,75001,Paris,France,M. Durant,"Parsing: m. durant 62 avenue de verdun 75001 paris france
Champs: {""Building_Number"": 62, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""avenue""}"
société leroy 193 b chemin de la république 33000 bordeaux france,193,B,chemin,de la République,33000,Bordeaux,France,Société Leroy,"Parsing: société leroy 193 b chemin de la république 33000 bordeaux france
Champs: {""Building_Number"": 193, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
société leroy 35 a impasse victor hugo 33000 paris france,35,A,impasse,Victor Hugo,33000,Paris,France,Société Leroy,"Parsing: société leroy 35 a impasse victor hugo 33000 paris france
Champs: {""Building_Number"": 35, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
de la république chemin france boulogne-billancourt 44000 bis m. durant 180,180,bis,chemin,de la République,44000,Boulogne-Billancourt,France,M. Durant,"Parsing: de la république chemin france boulogne-billancourt 44000 bis m. durant 180
Champs: {""Building_Number"": 180, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
a 13008 du général leclerc 77 france nantes route,77,A,route,du Général Leclerc,13008,Nantes,France,,"Parsing: a 13008 du général leclerc 77 france nantes route
Champs: {""Building_Number"": 77, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""route""}"
196 Marseille de Verdun boulevard ter France 67000 Dupont,196,ter,boulevard,de Verdun,67000,Marseille,France,Dupont,"Parsing: 196 Marseille de Verdun boulevard ter France 67000 Dupont
Champs: {""Building_Number"": 196, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""boulevard""}"
france 67 des lilas rue 6000 a nantes,67,A,rue,des Lilas,6000,Nantes,France,,"Parsing: france 67 des lilas rue 6000 a nantes
Champs: {""Building_Number"": 67, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
7 ter impasse victor hugo 75001 bordeaux france,7,ter,impasse,Victor Hugo,75001,Bordeaux,France,,"Parsing: 7 ter impasse victor hugo 75001 bordeaux france
Champs: {""Building_Number"": 7, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
mme martin 188 route victor hugo 13008 marseille france,188,,route,Victor Hugo,13008,Marseille,France,Mme Martin,"Parsing: mme martin 188 route victor hugo 13008 marseille france
Champs: {""Building_Number"": 188, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""route""}"
9 jean jaurès impasse france société leroy lyon 13008,9,,impasse,Jean Jaurès,13008,Lyon,France,Société Leroy,"Parsing: 9 jean jaurès impasse france société leroy lyon 13008
Champs: {""Building_Number"": 9, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""impasse""}"
66 13008 France impasse Dupont Paris de Verdun,66,,impasse,de Verdun,13008,Paris,France,Dupont,"Parsing: 66 13008 France impasse Dupont Paris de Verdun
Champs: {""Building_Number"": 66, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""impasse""}"
Dupont 139 A avenue des Lilas 67000 Strasbourg France,139,A,avenue,des Lilas,67000,Strasbourg,France,Dupont,"Parsing: Dupont 139 A avenue des Lilas 67000 Strasbourg France
Champs: {""Building_Number"": 139, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""avenue""}"
M. Durant 57 avenue Jean Jaurès 67000 Bordeaux France,57,,avenue,Jean Jaurès,67000,Bordeaux,France,M. Durant,"Parsing: M. Durant 57 avenue Jean Jaurès 67000 Bordeaux France
Champs: {""Building_Number"": 57, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""avenue""}"
Dupont 169 A impasse Victor Hugo 92100 Boulogne-Billancourt France,169,A,impasse,Victor Hugo,92100,Boulogne-Billancourt,France,Dupont,"Parsing: Dupont 169 A impasse Victor Hugo 92100 Boulogne-Billancourt France
Champs: {""Building_Number"": 169, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 92100, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
mme martin 84 boulevard jean jaurès 33000 lyon france,84,,boulevard,Jean Jaurès,33000,Lyon,France,Mme Martin,"Parsing: mme martin 84 boulevard jean jaurès 33000 lyon france
Champs: {""Building_Number"": 84, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": null, ""type_voie"": ""boulevard""}"
Dupont 50 bis impasse Victor Hugo 31000 Bordeaux France,50,bis,impasse,Victor Hugo,31000,Bordeaux,France,Dupont,"Parsing: Dupont 50 bis impasse Victor Hugo 31000 Bordeaux France
Champs: {""Building_Number"": 50, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
dupont 149 b avenue victor hugo 69003 lyon france,149,B,avenue,Victor Hugo,69003,Lyon,France,Dupont,"Parsing: dupont 149 b avenue victor hugo 69003 lyon france
Champs: {""Building_Number"": 149, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
118 ter boulevard victor hugo 31000 strasbourg france,118,ter,boulevard,Victor Hugo,31000,Strasbourg,France,,"Parsing: 118 ter boulevard victor hugo 31000 strasbourg france
Champs: {""Building_Number"": 118, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""boulevard""}"
société leroy 42 ter rue du général leclerc 13008 strasbourg france,42,ter,rue,du Général Leclerc,13008,Strasbourg,France,Société Leroy,"Parsing: société leroy 42 ter rue du général leclerc 13008 strasbourg france
Champs: {""Building_Number"": 42, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
Dupont 124 A chemin de Verdun 75001 Paris France,124,A,chemin,de Verdun,75001,Paris,France,Dupont,"Parsing: Dupont 124 A chemin de Verdun 75001 Paris France
Champs: {""Building_Number"": 124, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
mme martin 42 a route de verdun 13008 bordeaux france,42,A,route,de Verdun,13008,Bordeaux,France,Mme Martin,"Parsing: mme martin 42 a route de verdun 13008 bordeaux france
Champs: {""Building_Number"": 42, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""route""}"
avenue bis france mme martin 122 33000 jean jaurès boulogne-billancourt,122,bis,avenue,Jean Jaurès,33000,Boulogne-Billancourt,France,Mme Martin,"Parsing: avenue bis france mme martin 122 33000 jean jaurès boulogne-billancourt
Champs: {""Building_Number"": 122, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
société leroy 88 a boulevard des lilas 13008 marseille france,88,A,boulevard,des Lilas,13008,Marseille,France,Société Leroy,"Parsing: société leroy 88 a boulevard des lilas 13008 marseille france
Champs: {""Building_Number"": 88, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""boulevard""}"
Mme Martin 195 bis avenue de la République 67000 Lyon France,195,bis,avenue,de la République,67000,Lyon,France,Mme Martin,"Parsing: Mme Martin 195 bis avenue de la République 67000 Lyon France
Champs: {""Building_Number"": 195, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
Nantes B du Général Leclerc 67000 168 avenue France,168,B,avenue,du Général Leclerc,67000,Nantes,France,,"Parsing: Nantes B du Général Leclerc 67000 168 avenue France
Champs: {""Building_Number"": 168, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
dupont 80 rue du général leclerc 75001 nantes france,80,,rue,du Général Leclerc,75001,Nantes,France,Dupont,"Parsing: dupont 80 rue du général leclerc 75001 nantes france
Champs: {""Building_Number"": 80, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""rue""}"
dupont 192 a boulevard de verdun 69003 boulogne-billancourt france,192,A,boulevard,de Verdun,69003,Boulogne-Billancourt,France,Dupont,"Parsing: dupont 192 a boulevard de verdun 69003 boulogne-billancourt france
Champs: {""Building_Number"": 192, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""A"", ""type_voie"": ""boulevard""}"
Mme Martin 126 ter impasse de Verdun 44000 Strasbourg France,126,ter,impasse,de Verdun,44000,Strasbourg,France,Mme Martin,"Parsing: Mme Martin 126 ter impasse de Verdun 44000 Strasbourg France
Champs: {""Building_Number"": 126, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
189 france m. durant strasbourg 67000 du général leclerc avenue,189,,avenue,du Général Leclerc,67000,Strasbourg,France,M. Durant,"Parsing: 189 france m. durant strasbourg 67000 du général leclerc avenue
Champs: {""Building_Number"": 189, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""avenue""}"
127 ter rue Jean Jaurès 92100 Paris France,127,ter,rue,Jean Jaurès,92100,Paris,France,,"Parsing: 127 ter rue Jean Jaurès 92100 Paris France
Champs: {""Building_Number"": 127, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
société leroy 112 b chemin de verdun 13008 paris france,112,B,chemin,de Verdun,13008,Paris,France,Société Leroy,"Parsing: société leroy 112 b chemin de verdun 13008 paris france
Champs: {""Building_Number"": 112, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
m. durant 15 bis route jean jaurès 44000 bordeaux france,15,bis,route,Jean Jaurès,44000,Bordeaux,France,M. Durant,"Parsing: m. durant 15 bis route jean jaurès 44000 bordeaux france
Champs: {""Building_Number"": 15, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""route""}"
B M. Durant des Lilas Nantes 152 France 13008 impasse,152,B,impasse,des Lilas,13008,Nantes,France,M. Durant,"Parsing: B M. Durant des Lilas Nantes 152 France 13008 impasse
Champs: {""Building_Number"": 152, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
des lilas boulevard 30 société leroy bordeaux 13008 france,30,,boulevard,des Lilas,13008,Bordeaux,France,Société Leroy,"Parsing: des lilas boulevard 30 société leroy bordeaux 13008 france
Champs: {""Building_Number"": 30, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""boulevard""}"
Mme Martin 163 ter rue Jean Jaurès 33000 Nice France,163,ter,rue,Jean Jaurès,33000,Nice,France,Mme Martin,"Parsing: Mme Martin 163 ter rue Jean Jaurès 33000 Nice France
Champs: {""Building_Number"": 163, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
Mme Martin 171 A avenue du Général Leclerc 67000 Boulogne-Billancourt France,171,A,avenue,du Général Leclerc,67000,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 171 A avenue du Général Leclerc 67000 Boulogne-Billancourt France
Champs: {""Building_Number"": 171, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""avenue""}"
Société Leroy 32 impasse de la République 31000 Nantes France,32,,impasse,de la République,31000,Nantes,France,Société Leroy,"Parsing: Société Leroy 32 impasse de la République 31000 Nantes France
Champs: {""Building_Number"": 32, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""impasse""}"
69003 rue Mme Martin France de Verdun Nantes 4,4,,rue,de Verdun,69003,Nantes,France,Mme Martin,"Parsing: 69003 rue Mme Martin France de Verdun Nantes 4
Champs: {""Building_Number"": 4, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""rue""}"
Mme Martin 173 A chemin des Lilas 33000 Boulogne-Billancourt France,173,A,chemin,des Lilas,33000,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 173 A chemin des Lilas 33000 Boulogne-Billancourt France
Champs: {""Building_Number"": 173, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
Société Leroy 65 ter chemin des Lilas 67000 Toulouse France,65,ter,chemin,des Lilas,67000,Toulouse,France,Société Leroy,"Parsing: Société Leroy 65 ter chemin des Lilas 67000 Toulouse France
Champs: {""Building_Number"": 65, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
143 a avenue de la république 13008 marseille france,143,A,avenue,de la République,13008,Marseille,France,,"Parsing: 143 a avenue de la république 13008 marseille france
Champs: {""Building_Number"": 143, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""avenue""}"
147 a route des lilas 13008 nice france,147,A,route,des Lilas,13008,Nice,France,,"Parsing: 147 a route des lilas 13008 nice france
Champs: {""Building_Number"": 147, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""route""}"
